AssetsToReplace,Assets
UPRO,SPUU
TSLL,IYW
BSV,MUNI
SOXL,SOXQ
TMF,TLT
TSLS,SGOV
ERX,SGOV
SPXU,SH
TECL,IYW
TQQQ,IYW
AAPD,SGOV
VGT,IYW
TMV,TBT
AAPB,SPUU
BIL,SGOV
AGG,SPAB
UVXY,SGOV
